timestamp,server,cpu,memory,disk,network,label,ai_prediction
2026-07-14 00:34:58.320880,VM3,0.7,53.2,23.8,196266,0,0
2026-07-14 00:35:00.117072,VM2,21.4,56.8,23.8,168121,0,0
2026-07-14 00:35:02.894719,VM1,100.0,54.2,23.8,104143,1,1
2026-07-14 00:35:03.355843,VM3,1.0,53.2,23.8,197100,0,0
2026-07-14 00:35:05.143008,VM2,6.7,56.4,23.8,168956,0,0
2026-07-14 00:35:07.943518,VM1,44.3,54.2,23.8,105895,0,0
2026-07-14 00:35:08.385841,VM3,0.6,53.2,23.8,197934,0,0
2026-07-14 00:35:10.166004,VM2,1.7,56.4,23.8,169790,0,0
2026-07-14 00:35:12.973743,VM1,59.5,54.9,23.8,106730,0,1
2026-07-14 00:35:13.416641,VM3,0.5,53.2,23.8,198768,0,0
2026-07-14 00:35:15.202136,VM2,0.9,56.4,23.8,170624,0,0
2026-07-14 00:35:17.992092,VM1,7.2,54.9,23.8,107565,0,0
2026-07-14 00:35:18.450616,VM3,0.3,53.2,23.8,199602,0,0
2026-07-14 00:35:20.235911,VM2,1.9,56.4,23.8,171458,0,0
2026-07-14 00:35:23.073293,VM1,3.2,55.0,23.8,108399,0,0
2026-07-14 00:35:23.481076,VM3,0.7,53.2,23.8,200436,0,0
2026-07-14 00:35:25.296440,VM2,0.4,56.4,23.8,172292,0,0
2026-07-14 00:35:28.123412,VM1,3.3,55.0,23.8,109233,0,0
2026-07-14 00:35:28.525904,VM3,1.2,53.2,23.8,201270,0,0
2026-07-14 00:35:30.351072,VM2,1.7,56.4,23.8,173126,0,0
